Tube,Population.y,Pollen_Type.y,AB_Donor,grains_stigma,Prop_grain_penetrate,Prop_stig_chi
756,AR,6,A,45,0,0
752,AR,6,B,87,0,0
751,AR,6,B,193,0,0
629,AR,3,A,3,0,0
638,AR,6,A,6,0,0
726,AR,6,B,6,0,0
724,AR,6,B,63,0,0
713,AR,3,B,1,0,0
717,BC,6,B,48,0,0
710,BC,3,B,8,0,0
358,DC,6,A,178,0,0
730,MC,6,B,1,0,0
653,WD,6,A,53,0,0
659,WD,6,A,38,0,0
356,DC,6,A,3,0,0
359,DC,6,A,268,0,0
350,DC,6,A,364,0,0
21,EC,6,B,13,0,0
51,ER,6,B,311,0,0
65,ER,6,A,279,0,0
45,ER,6,B,525,0,0
379,GP,6,A,430,0,0
92,GP,6,B,43,0,0
408,GP,6,A,436,0,0
413,GP,6,A,2,0,0
365,GP,6,A,122,0,0
380,GP,6,A,386,0,0
384,MC,3,A,4,0,0
160,EC,3,A,99,0,0
160,EC,3,A,99,0,0
508,ER,3,B,263,0,0
627,AR,6,A,18,0,0
628,AR,6,A,1,0,0
627,AR,6,A,18,0,0
628,AR,6,A,1,0,0
630,AR,3,A,3,0,0
698,AR,6,B,66,0,0
705,AR,3,B,116,0,0
705,AR,3,B,116,0,0
697,AR,3,B,22,0,0
697,AR,3,B,22,0,0
626,AR,6,A,1,0,0
626,AR,6,A,1,0,0
711,AR,3,B,53,0,0
712,AR,3,B,137,0,0
711,AR,3,B,53,0,0
712,AR,3,B,137,0,0
632,AR,6,A,1,0,0
632,AR,6,A,1,0,0
632,AR,6,A,1,0,0
761,AR,3,A,94,0,0
761,AR,3,A,94,0,0
694,AR,6,B,4,0,0
745,AR,6,A,8,0,0
745,AR,6,A,8,0,0
742,AR,3,A,3,0,0
742,AR,3,A,3,0,0
690,AR,6,A,27,0,0
690,AR,6,A,27,0,0
699,AR,6,B,429,0,0
774,BC,6,A,235,0,0
774,BC,6,A,235,0,0
715,BC,3,B,6,0,0
715,BC,3,B,6,0,0
784,DC,6,A,35,0,0
784,DC,6,A,35,0,0
616,DC,6,A,4,0,0
616,DC,6,A,4,0,0
789,DC,3,B,102,0,0
561,EC,3,A,1,0,0
561,EC,3,A,1,0,0
558,EC,6,A,71,0,0
558,EC,6,A,71,0,0
552,EC,6,A,40,0,0
552,EC,6,A,40,0,0
547,EC,6,A,327,0,0
555,EC,6,A,594,0,0
547,EC,6,A,327,0,0
555,EC,6,A,594,0,0
547,EC,6,A,327,0,0
555,EC,6,A,594,0,0
547,EC,6,A,327,0,0
555,EC,6,A,594,0,0
422,ER,6,A,309,0,0
422,ER,6,A,309,0,0
422,ER,6,A,309,0,0
492,ER,3,A,1,0,0
439,ER,6,A,131,0,0
439,ER,6,A,131,0,0
437,ER,3,A,24,0,0
437,ER,3,A,24,0,0
513,ER,3,B,204,0,0
513,ER,3,B,204,0,0
412,ER,6,A,514,0,0
412,ER,6,A,514,0,0
419,ER,3,A,134,0,0
419,ER,3,A,134,0,0
121,ER,6,B,88,0,0
121,ER,6,B,88,0,0
242,ER,3,A,28,0,0
242,ER,3,A,28,0,0
429,ER,6,A,173,0,0
429,ER,6,A,173,0,0
429,ER,6,A,173,0,0
406,GP,3,A,20,0,0
494,GP,3,B,4,0,0
494,GP,3,B,4,0,0
504,GP,6,B,136,0,0
504,GP,6,B,136,0,0
654,WD,3,A,52,0,0
723,EC,3,A,70,0,0
